target (driver),lib (driven),E,tau,convergence_p_value,ccm_rho,average_trials_rho,p95_trials_rho,p99_trials_rho,activity,average_direction,pct_time_positive,pct_time_negative,Domain,Phylum,Class,Order,Family,Domain_lib,Phylum_lib,Class_lib,Order_lib,Family_lib
f__Pseudoalteromonadaceae,f__Oligoflexales,5,-2,1.6583371176705233e-06,0.643213587602464,-0.0639073705313981,0.2496843592424258,0.3674810028813151,20.49180327868853,-1.947248297088737,0.0,79.50819672131148,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Alteromonadales,f__Pseudoalteromonadaceae,d__Bacteria,p__Bdellovibrionota,c__Oligoflexia,o__Oligoflexales,f__Oligoflexales
f__Pseudoalteromonadaceae,f__Halieaceae,5,-3,0.0002018800439621,0.5887582201651648,-0.0463538182145198,0.2133278317365761,0.3331124909707358,29.66101694915254,-3.1427072591024823,0.0,76.27118644067797,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Alteromonadales,f__Pseudoalteromonadaceae,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Cellvibrionales,f__Halieaceae
f__Pseudoalteromonadaceae,f__Hyphomonadaceae,5,-2,5.872585616791473e-07,0.585018831494939,-0.0632564321439329,0.2268652654222729,0.2555348113747727,24.59016393442623,-1.6343197214225262,0.0,79.50819672131148,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Alteromonadales,f__Pseudoalteromonadaceae,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Caulobacterales,f__Hyphomonadaceae
f__Pseudoalteromonadaceae,f__Sneathiellaceae,5,-2,2.0491470654770132e-08,0.4278079589078647,-0.0255449242617155,0.2426859090589518,0.2980579492027201,18.852459016393443,-0.3769426237647507,5.737704918032787,73.77049180327869,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Alteromonadales,f__Pseudoalteromonadaceae,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sneathiellales,f__Sneathiellaceae
f__Pseudoalteromonadaceae,f__Rubritaleaceae,5,-3,4.0616144857325883e-23,0.5845109879169847,-0.0493832097224205,0.3026692146234926,0.4119210640431207,22.033898305084744,-0.608243882310261,0.0,76.27118644067797,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Alteromonadales,f__Pseudoalteromonadaceae,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Verrucomicrobiales,f__Rubritaleaceae
f__Pseudoalteromonadaceae,f__Crocinitomicaceae,4,-3,3.9091991317712655e-17,0.3108811969759774,-0.0536238724279617,0.16142577983568,0.2888888715950782,13.223140495867767,-0.4131006033183512,0.0,80.99173553719008,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Alteromonadales,f__Pseudoalteromonadaceae,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Crocinitomicaceae
f__Pseudoalteromonadaceae,f__Marinobacteraceae,4,-2,0.0004163929077481,0.0950429975096495,-0.0220289125669444,0.2477040587067397,0.435742197590716,7.258064516129033,-0.211847324789504,0.8064516129032258,82.25806451612904,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Alteromonadales,f__Pseudoalteromonadaceae,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Alteromonadales,f__Marinobacteraceae
f__Pseudoalteromonadaceae,f__Halomonadaceae,5,-3,5.022988125211961e-05,0.3939492228254765,-0.0651195280959726,0.1978858155566378,0.3578777310066398,16.101694915254235,0.5885391725909331,76.27118644067797,0.0,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Alteromonadales,f__Pseudoalteromonadaceae,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Oceanospirillales,f__Halomonadaceae
f__Pseudoalteromonadaceae,f__Unknown_Family,3,-1,2.2721955328011254e-09,0.5223344370981327,-0.0237420001409304,0.2157315399098978,0.2340770699545724,16.40625,-0.7799239145868457,0.0,89.0625,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Alteromonadales,f__Pseudoalteromonadaceae,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Gammaproteobacteria_Incertae_Sedis,f__Unknown_Family
f__Pseudoalteromonadaceae,f__Unknown_Family,3,-1,2.2721955328011254e-09,0.5223344370981327,-0.0237420001409304,0.2157315399098978,0.2340770699545724,16.40625,-0.7799239145868457,0.0,89.0625,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Alteromonadales,f__Pseudoalteromonadaceae,d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Oxyphotobacteria_Incertae_Sedis,f__Unknown_Family
